"class","family","species","angle","mimicType","right","wrong","numPhotos","accuracy"
"Arachnida","Corinnidae","Aetius nocturnus","Dorsal","mimic",50,5,1,0.0909090909090909
"Arachnida","Corinnidae","Battalus byrneae","Anterior","non-mimic",76,2,1,0.0256410256410256
"Arachnida","Corinnidae","Castineira cingulata","Anterior","non-mimic",71,0,1,0
"Arachnida","Corinnidae","Castineira cingulata","Dorsal","mimic",76,2,1,0.0256410256410256
"Arachnida","Corinnidae","Copa kabana","Dorsal","non-mimic",82,0,1,0
"Arachnida","Corinnidae","Corrinnomma sp.","Anterior","mimic",62,8,1,0.114285714285714
"Arachnida","Corinnidae","Corrinnomma sp.","Dorsal","mimic",61,2,1,0.0317460317460317
"Arachnida","Corinnidae","Corrinnomma sp.","Lateral","mimic",59,21,1,0.2625
"Arachnida","Corinnidae","Disnyssus judidenchae","Dorsal","non-mimic",78,2,1,0.025
"Arachnida","Corinnidae","Iridonyssus formicans","Dorsal","non-mimic",82,0,1,0
"Arachnida","Corinnidae","Iridonyssus kohouti","Dorsal","mimic",71,7,1,0.0897435897435897
"Arachnida","Corinnidae","Leichhardteus albofasciatus","Dorsal","non-mimic",59,0,1,0
"Arachnida","Corinnidae","Leichhardteus albofasciatus","Posterior","non-mimic",69,0,1,0
"Arachnida","Corinnidae","Leichhardteus conopalpis","Dorsal","non-mimic",86,2,1,0.0227272727272727
"Arachnida","Corinnidae","Myrmecotypus rettenmeyeri","Anterior","mimic",38,35,1,0.479452054794521
"Arachnida","Corinnidae","Nyssus albopunctatus","Dorsal","non-mimic",79,1,1,0.0125
"Arachnida","Corinnidae","Nyssus avidus","Dorsal","non-mimic",69,1,1,0.0142857142857143
"Arachnida","Corinnidae","Nyssus coloripes","Dorsal","non-mimic",85,0,1,0
"Arachnida","Corinnidae","Nyssus coloripes","Lateral","mimic",72,2,1,0.027027027027027
"Arachnida","Corinnidae","Nyssus luteofinis","Lateral","mimic",122,15,2,0.109489051094891
"Arachnida","Corinnidae","Nyssus paradoxus","Anterior","non-mimic",71,3,1,0.0405405405405405
"Arachnida","Corinnidae","Nyssus paradoxus","Dorsal","non-mimic",86,0,1,0
"Arachnida","Corinnidae","Nyssus supunnoides","Dorsal","non-mimic",70,1,1,0.0140845070422535
"Arachnida","Corinnidae","Poecilipta sp1","Dorsal","mimic",114,10,1,0.0806451612903226
"Arachnida","Corinnidae","Sphecotypus niger","Anterior","mimic",26,39,1,0.6
"Arachnida","Corinnidae","Sphecotypus niger","Dorsal","mimic",40,32,1,0.444444444444444
"Arachnida","Gnaphosidae","Eilica sp1","Dorsal","non-mimic",57,0,1,0
"Arachnida","Gnaphosidae","Eilica sp1","Lateral","non-mimic",59,0,1,0
"Arachnida","Lamponidae","Lamponid2 sp1","Dorsal","non-mimic",112,1,1,0.00884955752212389
"Arachnida","Lamponidae","Lamponid2 sp1","Lateral","non-mimic",108,3,1,0.027027027027027
"Arachnida","Lamponidae","Lamponid4 sp1","Dorsal","non-mimic",133,0,1,0
"Arachnida","Salticidae","Abracadabrella elegans","Dorsal","non-mimic",79,0,1,0
"Arachnida","Salticidae","Abracadabrella elegans","Lateral","non-mimic",86,0,1,0
"Arachnida","Salticidae","Abracadabrella elegans","Posterior","non-mimic",76,4,1,0.05
"Arachnida","Salticidae","Cosmophasis bitaeniata","Anterior","mimic",50,3,1,0.0566037735849057
"Arachnida","Salticidae","Cosmophasis bitaeniata","Dorsal","mimic",52,2,1,0.037037037037037
"Arachnida","Salticidae","Cosmophasis bitaeniata","Lateral","mimic",59,7,1,0.106060606060606
"Arachnida","Salticidae","Damoetas nitidus","Dorsal","mimic",64,7,1,0.0985915492957746
"Arachnida","Salticidae","Damoetas nitidus","Lateral","mimic",86,3,1,0.0337078651685393
"Arachnida","Salticidae","Helpis minitabunda","Dorsal","non-mimic",65,0,1,0
"Arachnida","Salticidae","Judalana lutea","Anterior","mimic",65,24,1,0.269662921348315
"Arachnida","Salticidae","Judalana lutea","Dorsal","mimic",53,12,1,0.184615384615385
"Arachnida","Salticidae","Judalana lutea","Lateral","mimic",71,12,1,0.144578313253012
"Arachnida","Salticidae","Ligonipes lacertosus","Dorsal","mimic",62,8,1,0.114285714285714
"Arachnida","Salticidae","Ligonipes lacertosus","Lateral","mimic",92,58,2,0.386666666666667
"Arachnida","Salticidae","Ligonipes semitectus","Anterior","mimic",102,23,1,0.184
"Arachnida","Salticidae","Ligonipes semitectus","Dorsal","mimic",56,18,1,0.243243243243243
"Arachnida","Salticidae","Ligonipes semitectus","Lateral","mimic",47,31,1,0.397435897435897
"Arachnida","Salticidae","Myrmapana plataleoides","Dorsal","mimic",23,25,1,0.520833333333333
"Arachnida","Salticidae","Myrmarachne bicolor","Lateral","mimic",37,43,1,0.5375
"Arachnida","Salticidae","Myrmarachne erythrocephala","Dorsal","mimic",39,25,1,0.390625
"Arachnida","Salticidae","Myrmarachne erythrocephala","Lateral","mimic",32,39,1,0.549295774647887
"Arachnida","Salticidae","Myrmarachne erythrocephala","Posterior","mimic",33,39,1,0.541666666666667
"Arachnida","Salticidae","Myrmarachne helensmithae","Dorsal","mimic",51,25,1,0.328947368421053
"Arachnida","Salticidae","Myrmarachne helensmithae","Lateral","mimic",22,62,1,0.738095238095238
"Arachnida","Salticidae","Myrmarachne luctuosa","Dorsal","mimic",224,24,2,0.0967741935483871
"Arachnida","Salticidae","Myrmarachne macaulayi","Dorsal","mimic",29,56,1,0.658823529411765
"Arachnida","Salticidae","Myrmarachne macaulayi","Lateral","mimic",53,27,1,0.3375
"Arachnida","Salticidae","Myrmarachne macaulayi","Posterior","mimic",22,47,1,0.681159420289855
"Arachnida","Salticidae","Myrmarachne macleayana","Anterior","mimic",58,27,1,0.317647058823529
"Arachnida","Salticidae","Myrmarachne macleayana","Dorsal","mimic",101,62,2,0.380368098159509
"Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic",129,232,4,0.642659279778393
"Arachnida","Salticidae","Myrmarachne smaragdina","Dorsal","mimic",92,62,2,0.402597402597403
"Arachnida","Salticidae","Myrmarachne smaragdina","Lateral","mimic",47,102,2,0.684563758389262
"Arachnida","Salticidae","Myrmarachne sp 2","Anterior","mimic",55,11,1,0.166666666666667
"Arachnida","Salticidae","Myrmarachne sp1","Lateral","mimic",51,58,1,0.532110091743119
"Arachnida","Salticidae","Myrmarachne striatipes","Anterior","mimic",73,38,1,0.342342342342342
"Arachnida","Salticidae","Neon nelli","Anterior","non-mimic",73,0,1,0
"Arachnida","Salticidae","Neon nelli","Dorsal","non-mimic",70,0,1,0
"Arachnida","Salticidae","Neon nelli","Lateral","non-mimic",72,1,1,0.0136986301369863
"Arachnida","Salticidae","Rhombonotus gracilis","Dorsal","mimic",34,26,1,0.433333333333333
"Arachnida","Salticidae","Rhombonotus gracilis","Lateral","mimic",24,32,1,0.571428571428571
"Arachnida","Salticidae","Zenodorus metallescens","Dorsal","non-mimic",130,0,1,0
"Arachnida","Sparassidae","Holconia sp","Anterior","non-mimic",110,3,1,0.0265486725663717
"Arachnida","Sparassidae","Holconia sp","Dorsal","non-mimic",105,0,1,0
"Arachnida","Thomisidae","Amyciaea albomaculata","Anterior","mimic",103,10,1,0.0884955752212389
"Arachnida","Thomisidae","Amyciaea albomaculata","Posterior","mimic",102,21,1,0.170731707317073
"Insecta","Alydidae","Alydid3 sp1","Dorsal","mimic",99,24,1,0.195121951219512
"Insecta","Alydidae","Alydid3 sp1","Lateral","mimic",50,70,1,0.583333333333333
"Insecta","Alydidae","Riptortus abdominalis","Dorsal","mimic",58,76,1,0.567164179104478
"Insecta","Chrysididae","Chrysidid1 sp1","Dorsal","non-mimic",113,2,1,0.0173913043478261
"Insecta","Chrysididae","Chrysidid1 sp1","Lateral","non-mimic",121,3,1,0.0241935483870968
"Insecta","Coleoptera","Coleoptera2 sp1","Dorsal","non-mimic",43,6,1,0.122448979591837
"Insecta","Coleoptera","Coleoptera2 sp1","Lateral","non-mimic",56,1,1,0.0175438596491228
"Insecta","Formicidae","Camponotus nigriceps","Dorsal","ant",36,10,1,0.217391304347826
"Insecta","Formicidae","Camponotus sp.","Dorsal","ant",79,2,1,0.0246913580246914
"Insecta","Formicidae","Camponotus sp3","Anterior","ant",116,3,1,0.0252100840336134
"Insecta","Formicidae","Camponotus sp3","Dorsal","ant",108,0,1,0
"Insecta","Formicidae","Camponotus sp3","Lateral","ant",118,0,1,0
"Insecta","Formicidae","Crematogaster sp1","Dorsal","ant",117,1,1,0.00847457627118644
"Insecta","Formicidae","Crematogaster sp1","Lateral","ant",127,2,1,0.0155038759689922
"Insecta","Formicidae","Dolichoderus scabridus","Dorsal","ant",133,5,2,0.036231884057971
"Insecta","Formicidae","Dolichoderus scabridus","Lateral","ant",124,3,1,0.0236220472440945
"Insecta","Formicidae","Dolichoderus sp.","Anterior","ant",67,1,1,0.0147058823529412
"Insecta","Formicidae","Dolichoderus sp.","Dorsal","ant",66,1,1,0.0149253731343284
"Insecta","Formicidae","Formicid sp.","Anterior","ant",140,3,3,0.020979020979021
"Insecta","Formicidae","Formicid sp.","Dorsal","ant",320,9,6,0.027355623100304
"Insecta","Formicidae","Formicid sp.","Lateral","ant",686,27,13,0.0378681626928471
"Insecta","Formicidae","Formicid1 sp1","Dorsal","ant",116,1,2,0.00854700854700855
"Insecta","Formicidae","Formicid1 sp1","Lateral","ant",58,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Anterior","ant",43,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Dorsal","ant",41,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Lateral","ant",53,1,1,0.0185185185185185
"Insecta","Formicidae","Formicid14 sp1","Dorsal","ant",106,2,1,0.0185185185185185
"Insecta","Formicidae","Formicid14 sp1","Lateral","ant",114,3,1,0.0256410256410256
"Insecta","Formicidae","Formicid22 sp1","Dorsal","ant",60,1,1,0.0163934426229508
"Insecta","Formicidae","Formicid22 sp1","Lateral","ant",46,1,1,0.0212765957446809
"Insecta","Formicidae","Formicid28 sp1","Dorsal","ant",45,6,1,0.117647058823529
"Insecta","Formicidae","Formicid28 sp1","Lateral","ant",94,3,2,0.0309278350515464
"Insecta","Formicidae","Formicid29 sp1","Dorsal","ant",48,0,1,0
"Insecta","Formicidae","Idiomyrmex sp.","Lateral","ant",68,4,1,0.0555555555555556
"Insecta","Formicidae","Leptomyrmex sp.","Dorsal","ant",56,4,1,0.0666666666666667
"Insecta","Formicidae","Myrmecia nigrocincta","Dorsal","ant",147,7,2,0.0454545454545455
"Insecta","Formicidae","Myrmecia nigrocincta","Lateral","ant",66,2,1,0.0294117647058824
"Insecta","Formicidae","Myrmecia sp.","Dorsal","ant",80,0,1,0
"Insecta","Formicidae","Opisthopsis sp2","Anterior","ant",121,3,1,0.0241935483870968
"Insecta","Formicidae","Orectognathus versicolor","Dorsal","ant",60,15,1,0.2
"Insecta","Formicidae","Pachycondyla villosa","Anterior","ant",70,2,1,0.0277777777777778
"Insecta","Formicidae","Polyrhachis daemeli","Dorsal","ant",65,2,1,0.0298507462686567
"Insecta","Formicidae","Polyrhachis rufifemur","Dorsal","ant",58,13,1,0.183098591549296
"Insecta","Formicidae","Polyrhachis rufifemur","Lateral","ant",140,7,2,0.0476190476190476
"Insecta","Formicidae","Polyrhachis sp.","Dorsal","ant",57,15,1,0.208333333333333
"Insecta","Formicidae","Polyrhachis sp14","Lateral","ant",123,4,1,0.031496062992126
"Insecta","Formicidae","Rhytidoponera metallica","Dorsal","ant",114,5,1,0.0420168067226891
"Insecta","Reduviidae","Reduviid2 sp1","Dorsal","non-mimic",116,2,1,0.0169491525423729
"Insecta","Reduviidae","Reduviid3 sp1","Dorsal","non-mimic",112,16,1,0.125
"Insecta","Rhyparochromidae","Daerlac nigricans","Dorsal","mimic",84,27,1,0.243243243243243
