"species","accuracy","n","Family","Genus","Species","Leg.III.Femur..width","Leg.III.Femur..length","Leg.III.Femur..ratio..width.length.","X1...Leg.III.Femur.ratio","Prosoma..width","Prosoma..length","Prosoma..ratio..width.length.","X1...Prosoma.ratio","Opisthosoma..width","Opisthosoma..length","Opisthosoma..ratio..width.length.","X1...Opisthosoma.ratio","Pedicel..length","Body.length","Pedicel.length.body.length","Constriction.height","Prosoma.height","Constriction.height.Prosoma.height..ratio","X1...Constriction.height.Prosoma.height..ratio","Constriction.width","Prosoma.width","Constriction.width.Prosoma.width..ratio","X1...Constriction.width.Prosoma.width..ratio","Constriction.height.1","Opisthosoma.height","Constriction.height.Opisthosoma.height..ratio","X1...Constriction.height.Opisthosoma.height..ratio","Constriction.width.1","Opisthosoma.width","Constriction.width.Opisthosoma.width..ratio","X1...Constriction.width.Opisthosoma.width..ratio","Mimic.Accuracy","Faux.petiole.length","Length.from.constriction.to.spinnerets"
"Leichhardteus albofasciatus",0.15,1,"Corinnidae","Leichhardteus","albofasciatus",0.58,1.66,0.35,0.65,2.35,3.19,0.74,0.26,1.8,2.88,0.63,0.37,0.31,6.61,0.05,0,1.15,NA,0,0,2.35,NA,0,0,0.95,NA,0,0,1.8,NA,0,0.15,NA,NA
"Nysuss albopunctatus",0.14,1,"Corinnidae","Nysuss","albopunctatus",0.72,2.26,0.32,0.68,2.81,3.81,0.74,0.26,4.25,5.87,0.72,0.28,0,9.57,0,0,1.49,NA,0,0,2.81,NA,0,0,1.83,NA,0,0,4.25,NA,0,0.14,NA,NA
"Nyssus avidus",0.12,1,"Corinnidae","Nyssus","avidus",0.77,2.24,0.34,0.66,2.71,3.64,0.74,0.26,3.06,3.82,0.8,0.2,0,7.7,0,0,NA,NA,0,0,2.71,NA,0,0,NA,NA,0,0,3.06,NA,0,0.12,NA,NA
"Myrmarachne bicolor",0.32,2,"Salticidae","Myrmarachne","bicolor",0.225,0.94,0.24,0.76,1.09,2.44,0.445,0.555,1.28,2.75,0.465,0.535,0.25,5.45,0.05,0.918,1.113,0.825,0.175,1.005,1.1,0.925,0.075,0.91,1.115,0.815,0.185,1.04,1.28,0.815,0.185,0.32,1.195,1.99
"Leptopicia bimaculata",0.17,1,"Corinnidae","Leptopicia","bimaculata",0.31,1.12,0.28,0.72,1.75,2.42,0.72,0.28,1.23,2.17,0.57,0.43,0.34,4.8,0.07,0,0.79,NA,0,0,1.75,NA,0,NA,NA,NA,NA,0,1.23,NA,0,0.17,NA,NA
"Battalus byrneae",0.15,1,"Corinnidae","Battalus","byrneae",0.6,2.43,0.25,0.75,2.36,3.46,0.68,0.32,3.64,5.07,0.72,0.28,0,8.5,0,0,1.05,NA,0,0,2.36,NA,0,0,2.99,NA,0,0,3.64,NA,0,0.15,NA,NA
"Myrmapana centralis",0.33,1,"Salticidae","Myrmapana","centralis",0.15,0.64,0.23,0.77,1.01,1.91,0.53,0.47,0.99,1.85,0.54,0.46,0.08,3.86,0.02,0.67,0.75,0.9,0.1,0.85,1.01,0.84,0.16,0.52,0.61,0.86,0.14,0.81,0.99,0.82,0.18,0.33,0.79,1.12
"Myrmapeni chickeringi",0.29,1,"Salticidae","Myrmapeni","chickeringi",0.2,0.68,0.29,0.71,0.7,1.13,0.62,0.38,0.71,1.44,0.49,0.51,0.13,2.71,0.05,0.45,0.49,0.92,0.08,0,0.7,NA,0,0.45,0.47,0.95,0.05,0.57,0.71,0.81,0.19,0.29,NA,NA
"Castianeira cingulata",0.21,1,"Corinnidae","Castianeira","cingulata",0.4,1.34,0.3,0.7,1.74,2.89,0.6,0.4,1.67,2.92,0.57,0.43,0,6.15,0,0,0.91,NA,0,0,1.74,NA,0,0,1.49,NA,0,0,1.67,NA,0,0.21,NA,NA
"Nysuss coloripes",0.13,2,"Corinnidae","Nysuss","coloripes",0.46,1.325,0.345,0.655,1.875,2.4,0.785,0.215,2.44,3.505,0.695,0.305,0,6.005,0,0,1.11,0,0,0,1.875,NA,0,0,1.755,NA,0,0,2.455,NA,0,0.13,NA,NA
"Leichhardteus conopalpis",0.16,1,"Corinnidae","Leichhardteus","conopalpis",0.49,1.32,0.37,0.63,2.94,4.19,0.7,0.3,2.29,4.54,0.5,0.5,0,8.76,0,0,1.01,NA,0,0,2.94,NA,0,0,1.1,NA,0,0,2.29,NA,0,0.16,NA,NA
"Myrmarachne erythrocephala",0.31,2,"Salticidae","Myrmarachne","erythrocephala",0.285,0.97,0.29,0.71,1.115,2.265,0.49,0.51,1.565,2.765,0.565,0.435,0.255,5.295,0.045,0.97,1.09,0.885,0.115,1.045,1.14,0.94,0.06,1.17,1.21,0.965,0.035,1.29,1.565,0.825,0.175,0.31,NA,NA
"Iridonyssus formicans",0.12,1,"Corinnidae","Iridonyssus","formicans",0.2,0.68,0.3,0.7,1.02,1.33,0.77,0.23,1.01,1.25,0.8,0.2,0,2.64,0,0,0.43,NA,0,0,1.02,NA,0,0,0.7,NA,0,0,1.01,NA,0,0.12,NA,NA
"Myrmarachne formicaria",0.25,1,"Salticidae","Myrmarachne","formicaria",0.24,1.03,0.24,0.76,1.65,3.46,0.48,0.52,1.44,2.98,0.48,0.52,0.34,7.16,0.05,0.89,0.93,0.95,0.05,0,1.65,NA,0,1.21,1.26,0.96,0.04,0,1.44,NA,0,0.25,NA,NA
"Castianeira gertschi",0.17,1,"Corinnidae","Castianeira","gertschi",0.52,1.56,0.34,0.66,2,2.97,0.67,0.33,2.6,3.32,0.78,0.22,0,6.63,0,0,0.78,NA,0,0,2,NA,0,0,1.68,NA,0,0,2.6,NA,0,0.17,NA,NA
"Paradiestus gigantea",0.15,1,"Corinnidae","Paradiestus","gigantea",1.51,5.98,0.25,0.75,6.41,7.78,0.82,0.18,6.22,11.16,0.56,0.44,0,18.99,0,0,3.04,NA,0,0,6.41,NA,0,0,6.19,NA,0,0,6.22,NA,0,0.15,NA,NA
"Poecilipta gloverae",0.23,1,"Corinnidae","Poecilipta","gloverae",0.24,0.77,0.3,0.7,1.6,3,0.53,0.47,1.48,2.97,0.5,0.5,0.17,6.19,0.03,0,0.57,NA,0,0,1.6,NA,0,0,0.83,NA,0,1.37,1.48,0.93,0.07,0.23,NA,NA
"Rhombonotus gracilis",0.31,1,"Salticidae","Rhombonotus","gracilis",0.09,0.38,0.25,0.75,0.61,0.99,0.62,0.38,0.72,1.23,0.58,0.42,0.1,2.29,0.04,0.41,0.49,0.84,0.16,0.59,0.61,0.96,0.04,0.44,0.51,0.86,0.14,0.59,0.72,0.83,0.17,0.31,0.52,0.93
"Creugas gulosus",0.15,1,"Corinnidae","Creugas","gulosus",0.61,2.78,0.22,0.78,2.84,3.72,0.76,0.24,3.21,4.68,0.69,0.31,0,8.4,0,0,NA,NA,0,0,2.84,NA,0,NA,NA,NA,NA,0,3.21,NA,0,0.15,NA,NA
"Astia hariola",0.14,1,"Salticidae","Astia","hariola",0.47,1.72,0.27,0.73,1.82,2,0.91,0.09,1.51,2.78,0.54,0.46,0,5,0,0,0.95,NA,0,0,1.82,NA,0,0,1.15,NA,0,0,1.51,NA,0,0.14,NA,NA
"Disnyssus helenmirrenae",0.06,1,"Corinnidae","Disnyssus","helenmirrenae",NA,NA,NA,NA,1.96,2.52,0.78,0.22,1.76,2.52,0.7,0.3,0,5,0,0,0.52,NA,0,0,1.96,NA,0,NA,NA,NA,NA,0,1.76,NA,0,0.06,NA,NA
"Myrmarachne helensmithae",0.32,1,"Salticidae","Myrmarachne","helensmithae",0.21,0.86,0.24,0.76,1.65,3.09,0.53,0.47,1.02,2.87,0.36,0.64,0.32,6.27,0.05,1.08,1.33,0.81,0.19,1.27,1.65,0.77,0.23,0.76,0.84,0.91,0.09,0.91,1.02,0.89,0.11,0.32,NA,NA
"Apricia jovialis",0.16,1,"Salticidae","Apricia","jovialis",0.28,0.88,0.32,0.68,1.5,2.17,0.69,0.31,1.45,2.51,0.58,0.42,0,4.749,0,0,0.59,NA,0,0,1.5,NA,0,0,0.81,NA,0,0,1.45,NA,0,0.16,NA,NA
"Copa kabana",0.16,1,"Corinnidae","Copa","kabana",0.49,1.71,0.29,0.71,2.55,3.44,0.74,0.26,1.63,3.03,0.54,0.46,0,6.5,0,0,0.86,NA,0,0,2.55,NA,0,0,1.09,NA,0,0,1.63,NA,0,0.16,NA,NA
"Iridonyssus kohouti",0.15,2,"Corinnidae","Iridonyssus","kohouti",0.205,0.61,0.34,0.66,0.95,1.255,0.76,0.24,1.16,1.865,0.625,0.375,0.2,3.715,0.05,0,0.61,NA,0,0,1.105,NA,0,0.865,0.88,0.99,0.01,0,1.265,NA,0,0.15,NA,NA
"Ligonipes lacertosus",0.29,2,"Salticidae","Ligonipes","lacertosus",0.18,0.77,0.235,0.765,0.845,1.715,0.495,0.505,0.94,2,0.465,0.535,0.21,3.955,0.055,0.72,0.745,0.97,0.03,0,0.845,NA,0,0.52,0.755,0.69,0.31,0.86,0.94,0.91,0.09,0.29,0.95,1.3
"Castianeira longipalpa",0.19,1,"Corinnidae","Castianeira","longipalpa",0.37,0.95,0.39,0.61,1.53,2.47,0.62,0.38,2.07,3.59,0.58,0.42,0,6.28,0,0,0.58,NA,0,0,1.53,NA,0,0,1.89,NA,0,0,2.07,NA,0,0.19,NA,NA
"Myrmarachne luctuosa",0.33,2,"Salticidae","Myrmarachne","luctuosa",0.265,1.48,0.175,0.825,1.495,3.075,0.485,0.515,1.315,3.195,0.41,0.59,0.29,6.605,0.045,0.965,1.145,0.845,0.155,0,1.495,NA,0,1.394,1.54,0.91,0.09,1.195,1.315,0.915,0.085,0.33,NA,NA
"Judalana lutea",0.2,2,"Salticidae","Judalana","lutea",0.18,0.75,0.24,0.76,0.975,1.695,0.575,0.425,1.31,2.705,0.485,0.515,0.09,4.195,0.02,0.73,0.77,0.95,0.05,0,0.975,NA,0,0,1.11,NA,0,0,1.145,NA,0,0.2,NA,NA
"Nyssus luteofinis",0.18,1,"Corinnidae","Nyssus","luteofinis",0.45,1.25,0.36,0.64,2.16,2.92,0.74,0.26,1.9,3.19,0.6,0.4,0,6.5,0,0,NA,NA,0,0,2.16,NA,0,0,NA,NA,0,0,1.9,NA,0,0.18,NA,NA
"Myrmarachne macaulayi",0.4,2,"Salticidae","Myrmarachne","macaulayi",0.15,0.83,0.18,0.82,0.96,1.84,0.525,0.475,0.81,2.05,0.395,0.605,0.27,4.395,0.065,0.585,0.77,0.755,0.245,0.64,0.89,0.67,0.33,0.585,0.664,0.885,0.115,0.565,0.86,0.695,0.305,0.4,1.015,1.37
"Myrmarachne macleayana",0.34,2,"Salticidae","Myrmarachne","macleayana",0.22,0.945,0.225,0.775,1.115,2.31,0.485,0.515,1.22,2.495,0.49,0.51,0.38,4.96,0.075,0.775,1.005,0.765,0.235,0.955,1.145,0.86,0.14,1.115,1.16,0.96,0.04,1.105,1.365,0.91,0.09,0.34,NA,NA
"Helpis minitabunda",0.19,1,"Salticidae","Helpis","minitabunda",0.42,2.1,0.2,0.8,2.07,3.18,0.65,0.35,1.55,3.74,0.42,0.58,0,7.11,0,0,1.32,NA,0,0,2.07,NA,0,0,1.09,NA,0,0,1.55,NA,0,0.19,NA,NA
"Neon nellii",0.13,1,"Salticidae","Neon","nellii",0.16,0.56,0.29,0.71,0.73,0.94,0.77,0.23,0.95,1.27,0.75,0.25,0,2.23,0,0,0.52,NA,0,0,0.73,NA,0,0,0.636,NA,0,0,0.95,NA,0,0.13,NA,NA
"Sphecotypus niger",0.34,1,"Corinnidae","Sphecotypus","niger",0.49,1.62,0.3,0.7,2.15,7.14,0.3,0.7,2.34,5.5,0.42,0.58,0.88,13.35,0.07,1.14,1.37,0.83,0.17,1.39,2.15,0.65,0.35,1.79,2.1,0.85,0.15,1.52,2.34,0.65,0.35,0.34,2.93,3.01
"Damoetas nitidus",0.23,1,"Salticidae","Damoetas","nitidus",0.16,0.61,0.27,0.73,0.78,1.37,0.57,0.43,0.79,1.7,0.47,0.53,0.13,3.18,0.04,0,0.67,NA,0,0,0.78,NA,0,0.7,0.72,0.97,0.03,0,0.79,NA,0,0.23,NA,NA
"Aetius nocturnus",0.29,1,"Corinnidae","Aetius","nocturnus",0.44,2.03,0.22,0.78,2.19,3.7,0.59,0.41,1.79,3.71,0.48,0.52,0.24,7.66,0.03,0.75,1.06,0.71,0.29,0,2.19,NA,0,1.1,1.15,0.96,0.04,1.46,1.79,0.82,0.18,0.29,NA,NA
"Nyssus paradoxus",0.14,1,"Corinnidae","Nyssus","paradoxus",0.43,1.45,0.3,0.7,2.85,3.58,0.79,0.21,2.96,4.89,0.61,0.39,0,8.6,0,0,NA,NA,0,0,2.85,NA,0,0,NA,NA,0,0,2.96,NA,0,0.14,NA,NA
"Myrmapana parallela",0.3,1,"Salticidae","Myrmapana","parallela",0.22,0.97,0.23,0.77,1.23,2.26,0.54,0.46,1.36,2.81,0.48,0.52,0.29,5.33,0.05,0.94,1.07,0.88,0.12,1.05,1.23,0.85,0.15,1.11,1.13,0.98,0.02,1.02,1.36,0.75,0.25,0.3,NA,NA
"Mazax pax",0.26,1,"Corinnidae","Mazax","pax",0.24,1.06,0.23,0.77,1.3,2.32,0.56,0.44,1.3,2.5,0.52,0.48,0.49,5.19,0.1,0,0.9,NA,0,0,1.3,NA,0,1.02,1.17,0.87,0.13,1.17,1.3,0.9,0.1,0.26,1.59,1.41
"Myrmaplata plataleoides",0.44,1,"Salticidae","Myrmaplata","plataleoides",0.26,1.7,0.15,0.85,1.45,3.09,0.47,0.53,1.47,3,0.49,0.51,0.92,7.02,0.13,0.69,1.32,0.52,0.48,1,1.45,0.69,0.31,0.6,0.88,0.68,0.32,0.79,1.47,0.54,0.46,0.44,1.9,2.03
"Opisthoncus quadratarius",0.13,1,"Salticidae","Opisthoncus","quadratarius",0.6,1.98,0.3,0.7,3.31,3.82,0.87,0.13,2.57,3.74,0.69,0.31,0,7.54,0,NA,NA,NA,NA,0,3.31,NA,0,NA,NA,NA,NA,0,2.57,NA,0,0.13,NA,NA
"Myrmecotypus rettenmeyeri",0.32,1,"Corinnidae","Myrmecotypus","rettenmeyeri",0.55,2.87,0.19,0.81,2.04,5.77,0.35,0.65,2.51,3.95,0.64,0.36,0.34,9.85,0.03,1.53,1.67,0.92,0.08,1.88,2.04,0.92,0.08,1.7,1.72,0.99,0.01,2.04,2.51,0.81,0.19,0.32,NA,NA
"Nysuss semifuscus",0.21,1,"Corinnidae","Nysuss","semifuscus",0.66,2.23,0.3,0.7,1.8,2.8,0.64,0.36,1.6,2.8,0.57,0.43,0.24,5.7,0.04,0,0.98,NA,0,0,1.8,NA,0,0,1.77,NA,0,0,1.6,NA,0,0.21,NA,NA
"Ligonipes semitectus",0.3,2,"Salticidae","Ligonipes","semitectus",0.155,0.63,0.24,0.76,0.88,1.515,0.58,0.42,1,2.105,0.475,0.525,0.23,3.81,0.06,0.525,0.64,0.825,0.175,0,0.94,NA,0,0.69,0.81,0.855,0.145,0.735,1.035,0.73,0.27,0.3,1.035,1.335
"Myrmarachne smaragdina",0.41,1,"Salticidae","Myrmarachne","smaragdina",0.25,1.52,0.16,0.84,1.23,2.75,0.45,0.55,1.5,3.56,0.42,0.58,0.61,6.84,0.09,0.87,1.33,0.66,0.34,0.97,1.23,0.79,0.21,0.97,1.3,0.75,0.25,1.25,1.5,0.84,0.16,0.41,1.93,2
"Corinnomma sp.",0.15,1,"Corinnidae","Corinnomma","sp.",0.52,2.21,0.24,0.76,2.25,4.65,0.48,0.52,NA,NA,NA,NA,0,11.08,0,0,1.3,NA,0,0,2.25,NA,0,1.18,1.24,0.95,0.05,NA,NA,NA,NA,0.15,NA,NA
"Opisthoncus sp.",0.16,1,"Salticidae","Opisthoncus","sp.",0.41,1.24,0.33,0.67,2.05,2.79,0.74,0.26,1.43,2.94,0.49,0.51,0,6.01,0,0,1.331,NA,0,0,2.05,NA,0,0,1.427,NA,0,0,1.43,NA,0,0.16,NA,NA
"Mazax spinosa",0.22,1,"Corinnidae","Mazax","spinosa",0.29,1.18,0.24,0.76,1.37,2.45,0.56,0.44,1.95,2.92,0.67,0.33,0.47,5.85,0.08,0,0.72,NA,0,0,1.37,NA,0,1.33,1.37,0.97,0.03,0,1.95,NA,0,0.22,NA,NA
"Nucastia supunnoides",0.18,1,"Corinnidae","Nucastia","supunnoides",0.37,1.38,0.27,0.73,1.71,2.84,0.6,0.4,1.54,3.2,0.48,0.52,0,6.26,0,0,1.12,NA,0,0,1.71,NA,0,0,1.43,NA,0,0,1.54,NA,0,0.18,NA,NA
"Serendib suthepica",0.2,1,"Corinnidae","Serendib","suthepica",NA,NA,NA,NA,1.29,2.66,0.49,0.51,1.31,2.33,0.56,0.44,0.11,4.97,0.02,0.53,0.69,0.76,0.24,1.05,1.29,0.81,0.19,0.47,0.47,0.99,0.01,0.83,1.31,0.63,0.37,0.2,NA,NA
"Castianeira trilineata",0.21,1,"Corinnidae","Castianeira","trilineata",0.33,1.27,0.26,0.74,1.55,2.58,0.6,0.4,2,3.17,0.63,0.37,0,5.94,0,0,0.68,NA,0,0,1.55,NA,0,1.17,1.2,0.97,0.03,0,2,NA,0,0.21,NA,NA
"Serendib volans",0.16,1,"Corinnidae","Serendib","volans",0.23,0.77,0.3,0.7,1.32,2.02,0.65,0.35,1.81,2.4,0.76,0.24,0.56,4.99,0.11,0,0.89,NA,0,0,1.32,NA,0,0,1.17,NA,0,0,1.81,NA,0,0.16,NA,NA
